iter	Passed	Remaining
419	2453	3388
420	2459	3383
421	2465	3376
422	2470	3369
423	2476	3364
424	2482	3358
425	2487	3352
426	2494	3347
427	2499	3340
428	2504	3334
429	2511	3329
430	2516	3322
431	2522	3316
432	2528	3310
433	2533	3304
434	2539	3298
435	2545	3292
436	2550	3285
437	2557	3280
438	2561	3273
439	2566	3266
440	2572	3261
441	2578	3254
442	2583	3248
443	2589	3242
444	2594	3236
445	2599	3229
446	2606	3224
447	2613	3219
448	2619	3214
449	2625	3209
450	2631	3202
451	2638	3198
452	2643	3191
453	2648	3185
454	2655	3180
455	2660	3173
456	2665	3167
457	2673	3163
458	2678	3156
459	2683	3150
460	2689	3145
461	2695	3138
462	2703	3135
463	2708	3128
464	2713	3121
465	2720	3117
466	2726	3111
467	2731	3105
468	2739	3102
469	2745	3095
470	2751	3090
471	2756	3083
472	2761	3077
473	2767	3071
474	2773	3065
475	2778	3058
476	2785	3054
477	2790	3047
478	2795	3040
479	2802	3035
480	2807	3029
481	2812	3022
482	2819	3018
483	2824	3011
484	2831	3006
485	2836	3000
486	2841	2993
487	2848	2988
488	2853	2981
489	2858	2975
490	2864	2970
491	2870	2963
492	2875	2957
493	2883	2953
494	2888	2946
495	2893	2940
496	2899	2934
497	2904	2928
498	2910	2922
499	2916	2916
500	2921	2910
501	2928	2904
502	2934	2899
503	2939	2893
504	2947	2889
505	2953	2883
506	2961	2879
507	2967	2873
508	2971	2866
509	2978	2861
510	2983	2854
511	2988	2848
512	2995	2843
513	3000	2837
514	3006	2830
515	3013	2826
516	3018	2819
517	3024	2813
518	3031	2809
519	3036	2803
520	3042	2797
521	3047	2790
522	3053	2784
523	3059	2779
524	3064	2772
525	3069	2765
526	3076	2761
527	3081	2754
528	3086	2748
529	3093	2743
530	3098	2736
531	3103	2730
532	3111	2726
533	3116	2719
534	3121	2713
535	3131	2710
536	3136	2704
537	3143	2699
538	3148	2692
539	3153	2686
540	3159	2681
541	3164	2674
542	3170	2668
543	3176	2662
544	3181	2655
545	3186	2649
546	3192	2643
547	3197	2637
548	3202	2631
549	3208	2625
550	3213	2618
551	3219	2613
552	3225	2607
553	3230	2600
554	3236	2594
555	3242	2589
556	3247	2582
557	3254	2577
558	3259	2571
559	3265	2565
560	3273	2561
561	3278	2554
562	3284	2549
563	3290	2543
564	3295	2537
565	3300	2530
566	3306	2525
567	3311	2518
568	3318	2513
569	3323	2506
570	3328	2500
571	3334	2494
572	3340	2489
573	3346	2483
574	3352	2477
575	3357	2471
576	3362	2465
577	3369	2459
578	3374	2453
579	3378	2446
580	3385	2441
581	3390	2435
582	3395	2428
583	3418	2435
584	3423	2428
585	3429	2422
586	3436	2417
587	3441	2411
588	3447	2405
589	3453	2400
590	3458	2393
591	3465	2388
592	3470	2381
593	3475	2375
594	3481	2369
595	3486	2363
596	3491	2357
597	3497	2351
598	3503	2345
599	3508	2339
600	3514	2333
601	3519	2326
602	3524	2320
603	3535	2317
604	3540	2311
605	3546	2305
606	3552	2300
607	3557	2293
608	3564	2288
609	3569	2282
610	3574	2275
611	3581	2270
612	3586	2264
613	3591	2257
614	3599	2253
615	3604	2246
616	3610	2241
617	3617	2235
618	3622	2229
619	3628	2223
620	3633	2217
621	3638	2211
622	3644	2205
623	3651	2200
624	3656	2193
625	3663	2188
626	3668	2182
627	3673	2176
628	3680	2171
629	3685	2164
630	3691	2158
631	3697	2152
632	3702	2146
633	3708	2140
634	3713	2134
635	3718	2128
636	3725	2122
637	3730	2116
638	3734	2110
639	3741	2104
640	3747	2098
641	3752	2092
642	3758	2086
643	3765	2081
644	3770	2075
645	3778	2070
646	3785	2065
647	3793	2060
648	3800	2055
649	3807	2050
650	3814	2044
651	3819	2038
652	3827	2034
653	3833	2028
654	3842	2023
655	3847	2017
656	3852	2011
657	3859	2006
658	3865	2000
659	3872	1994
660	3876	1988
661	3882	1982
662	3887	1976
663	3893	1970
664	3898	1963
665	3904	1958
666	3909	1951
667	3914	1945
668	3920	1939
669	3926	1933
670	3931	1927
671	3941	1923
672	3947	1917
673	3954	1912
674	3961	1907
675	3969	1902
676	3976	1897
677	3982	1891
678	3990	1886
679	3996	1880
680	4002	1875
681	4008	1869
682	4015	1863
683	4023	1858
684	4029	1853
685	4038	1848
686	4044	1842
687	4051	1837
688	4058	1831
689	4064	1826
690	4072	1821
691	4078	1815
692	4087	1810
693	4093	1804
694	4101	1800
695	4107	1793
696	4112	1787
697	4119	1782
698	4124	1776
699	4129	1769
700	4136	1764
701	4140	1757
702	4146	1751
703	4151	1745
704	4156	1739
705	4162	1733
706	4169	1727
707	4174	1721
708	4180	1715
709	4186	1709
710	4191	1703
711	4197	1697
712	4202	1691
713	4207	1685
714	4213	1679
715	4218	1673
716	4223	1667
717	4230	1661
718	4235	1655
719	4240	1649
720	4246	1643
721	4251	1637
722	4256	1630
723	4263	1625
724	4268	1619
725	4272	1612
726	4279	1607
727	4285	1601
728	4291	1595
729	4297	1589
730	4303	1583
731	4308	1577
732	4314	1571
733	4319	1565
734	4326	1559
735	4331	1553
736	4336	1547
737	4345	1542
738	4350	1536
739	4355	1530
740	4362	1524
741	4368	1518
742	4373	1512
743	4380	1507
744	4386	1501
745	4393	1495
746	4398	1489
747	4403	1483
748	4409	1477
749	4415	1471
750	4420	1465
751	4427	1460
752	4432	1453
753	4437	1447
754	4443	1442
755	4448	1435
756	4453	1429
757	4459	1423
758	4465	1417
759	4470	1411
760	4476	1405
761	4481	1399
762	4488	1394
763	4494	1388
764	4499	1382
765	4505	1376
766	4510	1370
767	4515	1364
768	4522	1358
769	4527	1352
770	4532	1346
771	4538	1340
772	4544	1334
773	4549	1328
774	4554	1322
775	4559	1316
776	4565	1310
777	4571	1304
778	4576	1298
779	4581	1292
780	4588	1286
781	4595	1281
782	4600	1275
783	4606	1269
784	4611	1263
785	4616	1257
786	4622	1251
787	4628	1245
788	4634	1239
789	4640	1233
790	4645	1227
791	4651	1221
792	4656	1215
793	4661	1209
794	4668	1203
795	4673	1197
796	4678	1191
797	4684	1185
798	4690	1179
799	4695	1173
800	4701	1167
801	4707	1162
802	4712	1156
803	4719	1150
804	4724	1144
805	4728	1138
806	4737	1133
807	4742	1126
808	4748	1121
809	4754	1115
810	4759	1109
811	4765	1103
812	4770	1097
813	4775	1091
814	4781	1085
815	4786	1079
816	4791	1073
817	4797	1067
818	4804	1061
819	4809	1055
820	4815	1049
821	4820	1043
822	4825	1037
823	4832	1032
824	4837	1026
825	4842	1020
826	4849	1014
827	4854	1008
828	4860	1002
829	4867	996
830	4872	990
831	4878	985
832	4883	979
833	4889	973
834	4895	967
835	4901	961
836	4906	955
837	4913	949
838	4920	944
839	4925	938
840	4932	932
841	4937	926
842	4942	920
843	4948	914
844	4953	908
845	4959	902
846	4964	896
847	4969	890
848	4975	884
849	4980	878
850	4986	873
851	4991	867
852	4997	861
853	5002	855
854	5008	849
855	5016	843
856	5021	837
857	5029	832
858	5033	826
859	5038	820
860	5045	814
861	5050	808
862	5055	802
863	5062	796
864	5067	790
865	5072	784
866	5078	779
867	5083	773
868	5089	767
869	5096	761
870	5101	755
871	5108	749
872	5113	743
873	5118	737
874	5125	732
875	5131	726
876	5136	720
877	5142	714
878	5147	708
879	5152	702
880	5158	696
881	5163	690
882	5168	684
883	5175	679
884	5180	673
885	5185	667
886	5192	661
887	5197	655
888	5203	649
889	5209	643
890	5213	637
891	5220	632
892	5227	626
893	5232	620
894	5239	614
895	5244	608
896	5249	602
897	5256	597
898	5261	591
899	5266	585
900	5272	579
901	5277	573
902	5282	567
903	5288	561
904	5293	555
905	5298	549
906	5304	543
907	5309	537
908	5314	532
909	5320	526
910	5325	520
911	5332	514
912	5338	508
913	5343	502
914	5350	497
915	5355	491
916	5360	485
917	5367	479
918	5372	473
919	5377	467
920	5383	461
921	5388	455
922	5393	449
923	5399	444
924	5404	438
925	5410	432
926	5416	426
927	5421	420
928	5426	414
929	5433	408
930	5440	403
931	5445	397
932	5451	391
933	5456	385
934	5462	379
935	5467	373
936	5472	367
937	5478	362
938	5484	356
939	5489	350
940	5495	344
941	5502	338
942	5507	332
943	5516	327
944	5521	321
945	5527	315
946	5534	309
947	5539	303
948	5547	298
949	5554	292
950	5561	286
951	5567	280
952	5572	274
953	5580	269
954	5588	263
955	5596	257
956	5601	251
957	5605	245
958	5613	240
959	5618	234
960	5624	228
961	5631	222
962	5636	216
963	5643	210
964	5649	204
965	5654	199
966	5661	193
967	5667	187
968	5673	181
969	5679	175
970	5684	169
971	5690	163
972	5696	158
973	5702	152
974	5709	146
975	5714	140
976	5719	134
977	5727	128
978	5733	122
979	5739	117
980	5747	111
981	5754	105
982	5761	99
983	5767	93
984	5773	87
985	5780	82
986	5785	76
987	5793	70
988	5799	64
989	5806	58
990	5810	52
991	5815	46
992	5822	41
993	5827	35
994	5833	29
995	5840	23
996	5845	17
997	5852	11
998	5857	5
999	5862	0
