iter	Logloss
0	0.6840136563
1	0.6761688478
2	0.6688447279
3	0.6621333658
4	0.6556118175
5	0.6496156973
6	0.6442596155
7	0.6389769828
8	0.6346260717
9	0.6305695106
10	0.6265323901
11	0.6226263876
12	0.6186658001
13	0.6157914572
14	0.6131045239
15	0.6098503559
16	0.6068606015
17	0.6044985233
18	0.6021639132
19	0.6001428456
20	0.5982250104
21	0.596029592
22	0.594223764
23	0.5925378598
24	0.590876361
25	0.5887735863
26	0.5871155995
27	0.5858800624
28	0.5847202865
29	0.5836099132
30	0.5827173
31	0.5816499543
32	0.5804973522
33	0.5797536493
34	0.5787363926
35	0.5774941655
36	0.5766720731
37	0.5758686082
38	0.5750277494
39	0.5742620133
40	0.5734060202
41	0.5728247629
42	0.5722912994
43	0.5717940654
44	0.571337726
45	0.5707590565
46	0.5702086585
47	0.5696778267
48	0.569019261
49	0.5685836166
50	0.5681487738
51	0.5677759399
52	0.5673754081
53	0.5668495479
54	0.5665088364
55	0.5662020941
56	0.5658148976
57	0.5655203931
58	0.5652627443
59	0.5649484371
60	0.5646919505
61	0.5644072547
62	0.5641387204
63	0.5639118746
64	0.5636961306
65	0.5634404593
66	0.5631677227
67	0.5629154264
68	0.5625877304
69	0.5623740701
70	0.5622307417
71	0.5620238601
72	0.5618226378
73	0.5615263696
74	0.5613187834
75	0.561164026
76	0.5609295831
77	0.5607748898
78	0.5606432812
79	0.5604228655
80	0.5602042113
81	0.5600067348
82	0.5598452994
83	0.5596570555
84	0.559560851
85	0.5593134186
86	0.5591433816
87	0.5589750828
88	0.5587853667
89	0.5586320439
90	0.5585045021
91	0.5583763456
92	0.558271787
93	0.5581322293
94	0.5578826176
95	0.5576994495
96	0.5576131929
97	0.5574611122
98	0.5572211174
99	0.5571086081
100	0.5569961724
101	0.5568489267
102	0.5567664687
103	0.5566364003
104	0.5564429165
105	0.5562006497
106	0.556111331
107	0.5559640316
108	0.5558197899
109	0.5556711144
110	0.5555087596
111	0.5554191134
112	0.5553263116
113	0.5552237406
114	0.5551074432
115	0.554951952
116	0.554804492
117	0.5546237927
118	0.5544954499
119	0.5543775337
120	0.554241324
121	0.5541460924
122	0.5538910236
123	0.553779329
124	0.5535860717
125	0.5534555314
126	0.5532864775
127	0.5531578526
128	0.5530372302
129	0.5528514561
130	0.5526953671
131	0.5525761999
132	0.5524523133
133	0.5523530774
134	0.5520783047
135	0.5519957929
136	0.5518540618
137	0.5517295802
138	0.5516613046
139	0.5515074793
140	0.5514283372
141	0.5513060466
142	0.5511664597
143	0.5509873644
144	0.5509118107
145	0.5508483893
146	0.5506986116
147	0.5506398356
148	0.5505095613
149	0.5503467775
150	0.5502712086
151	0.550195198
152	0.5500277392
153	0.5499067782
154	0.5498078659
155	0.5497347736
156	0.5496238117
157	0.5495110714
